metric	value	haplotype	asm_method	asm_name	source	chromosome
length	2926888795	haplotype1	phased_verkko	T2T00	asmstat	NA
ref_covered	0.9031	haplotype1	phased_verkko	T2T00	asmstat	NA
asm_covered	0.9698	haplotype1	phased_verkko	T2T00	asmstat	NA
length	3038358603	haplotype2	phased_verkko	T2T00	asmstat	NA
ref_covered	0.9339	haplotype2	phased_verkko	T2T00	asmstat	NA
asm_covered	0.9682	haplotype2	phased_verkko	T2T00	asmstat	NA
length	6012131472	both	phased_verkko	T2T00	asmstat	NA
ref_covered	0.9612	both	phased_verkko	T2T00	asmstat	NA
asm_covered	0.9691	both	phased_verkko	T2T00	asmstat	NA
length	2894940648	haplotype1	phased_verkko	T2T00_1	asmstat	NA
ref_covered	0.8892	haplotype1	phased_verkko	T2T00_1	asmstat	NA
asm_covered	0.9651	haplotype1	phased_verkko	T2T00_1	asmstat	NA
length	3078475541	haplotype2	phased_verkko	T2T00_1	asmstat	NA
ref_covered	0.9459	haplotype2	phased_verkko	T2T00_1	asmstat	NA
asm_covered	0.97	haplotype2	phased_verkko	T2T00_1	asmstat	NA
length	6039149214	both	phased_verkko	T2T00_1	asmstat	NA
ref_covered	0.9594	both	phased_verkko	T2T00_1	asmstat	NA
asm_covered	0.9677	both	phased_verkko	T2T00_1	asmstat	NA
length	3093835391	haplotype1	phased_verkko	T2T00_2	asmstat	NA
ref_covered	0.9344	haplotype1	phased_verkko	T2T00_2	asmstat	NA
asm_covered	0.967	haplotype1	phased_verkko	T2T00_2	asmstat	NA
length	3039028738	haplotype2	phased_verkko	T2T00_2	asmstat	NA
ref_covered	0.9265	haplotype2	phased_verkko	T2T00_2	asmstat	NA
asm_covered	0.9666	haplotype2	phased_verkko	T2T00_2	asmstat	NA
length	6340623632	both	phased_verkko	T2T00_2	asmstat	NA
ref_covered	0.946	both	phased_verkko	T2T00_2	asmstat	NA
asm_covered	0.9664	both	phased_verkko	T2T00_2	asmstat	NA
length	3012154039	haplotype1	phased_verkko	T2T01	asmstat	NA
ref_covered	0.9385	haplotype1	phased_verkko	T2T01	asmstat	NA
asm_covered	0.9775	haplotype1	phased_verkko	T2T01	asmstat	NA
length	3020126942	haplotype2	phased_verkko	T2T01	asmstat	NA
ref_covered	0.94	haplotype2	phased_verkko	T2T01	asmstat	NA
asm_covered	0.9768	haplotype2	phased_verkko	T2T01	asmstat	NA
length	6098900266	both	phased_verkko	T2T01	asmstat	NA
ref_covered	0.9542	both	phased_verkko	T2T01	asmstat	NA
asm_covered	0.976	both	phased_verkko	T2T01	asmstat	NA
length	2927819193	haplotype1	phased_verkko	T2T02	asmstat	NA
ref_covered	0.9014	haplotype1	phased_verkko	T2T02	asmstat	NA
asm_covered	0.971	haplotype1	phased_verkko	T2T02	asmstat	NA
length	3036544838	haplotype2	phased_verkko	T2T02	asmstat	NA
ref_covered	0.9375	haplotype2	phased_verkko	T2T02	asmstat	NA
asm_covered	0.9749	haplotype2	phased_verkko	T2T02	asmstat	NA
length	6055043319	both	phased_verkko	T2T02	asmstat	NA
ref_covered	0.9632	both	phased_verkko	T2T02	asmstat	NA
asm_covered	0.9729	both	phased_verkko	T2T02	asmstat	NA
length	3020006413	haplotype1	phased_verkko	T2T03	asmstat	NA
ref_covered	0.9344	haplotype1	phased_verkko	T2T03	asmstat	NA
asm_covered	0.9737	haplotype1	phased_verkko	T2T03	asmstat	NA
length	3033495871	haplotype2	phased_verkko	T2T03	asmstat	NA
ref_covered	0.9401	haplotype2	phased_verkko	T2T03	asmstat	NA
asm_covered	0.9737	haplotype2	phased_verkko	T2T03	asmstat	NA
length	6129536875	both	phased_verkko	T2T03	asmstat	NA
ref_covered	0.9491	both	phased_verkko	T2T03	asmstat	NA
asm_covered	0.9722	both	phased_verkko	T2T03	asmstat	NA
length	2927884430	haplotype1	phased_verkko	T2T04	asmstat	NA
ref_covered	0.8964	haplotype1	phased_verkko	T2T04	asmstat	NA
asm_covered	0.962	haplotype1	phased_verkko	T2T04	asmstat	NA
length	3024269354	haplotype2	phased_verkko	T2T04	asmstat	NA
ref_covered	0.9392	haplotype2	phased_verkko	T2T04	asmstat	NA
asm_covered	0.9738	haplotype2	phased_verkko	T2T04	asmstat	NA
length	6048398635	both	phased_verkko	T2T04	asmstat	NA
ref_covered	0.961	both	phased_verkko	T2T04	asmstat	NA
asm_covered	0.9669	both	phased_verkko	T2T04	asmstat	NA
length	2923328753	haplotype1	phased_verkko	T2T04_1	asmstat	NA
ref_covered	0.8987999999999999	haplotype1	phased_verkko	T2T04_1	asmstat	NA
asm_covered	0.9685	haplotype1	phased_verkko	T2T04_1	asmstat	NA
length	3059576999	haplotype2	phased_verkko	T2T04_1	asmstat	NA
ref_covered	0.9409	haplotype2	phased_verkko	T2T04_1	asmstat	NA
